Completed,Organism_s,Assay_Type_s,AvgSpotLen_l,BioProject_s,BioSample_s,Experiment_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Library_Name_s,LoadDate_s,MBases_l,MBytes_l,Platform_s,ReleaseDate_s,Run_s,SRA_Sample_s,SRA_Study_s,Sample_Name_s,age_s,dev_stage_s,geo_loc_name_s,isolate_s,sex_s,tissue_s,Consent_s
No,Anaxyrus boreas boreas,RNA-Seq,508,PRJNA301463,SAMN04247391,SRX1423017,0,454 GS FLX Titanium,SINGLE,cDNA,TRANSCRIPTOMIC,Bufo_boreas001,11/6/2015,219,521,LS454,4/18/2016,SRR2911052,SRS1155440,SRP065907,BufoBoreas001,,adult,,captive bred,pooled male and female,"Skin, Liver, and Spleen",public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012554,SRX690976,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2110,1451,ILLUMINA,8/28/2015,SRR1562821,SRS693444,SRP046003,Atelopus glyphus A12 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012555,SRX690977,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2134,1463,ILLUMINA,8/28/2015,SRR1562822,SRS693445,SRP046003,Atelopus glyphus A25 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012556,SRX690978,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2286,1568,ILLUMINA,8/28/2015,SRR1562823,SRS693446,SRP046003,Atelopus glyphus A27 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012557,SRX690979,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2469,1695,ILLUMINA,8/28/2015,SRR1562824,SRS693447,SRP046003,Atelopus glyphus A28 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012558,SRX690980,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,1283,888,ILLUMINA,8/28/2015,SRR1562825,SRS693448,SRP046003,Atelopus glyphus A24 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012559,SRX690981,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,1803,1238,ILLUMINA,8/28/2015,SRR1562826,SRS693449,SRP046003,Atelopus glyphus A16 Bd-cleared mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012560,SRX690982,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,3545,2443,ILLUMINA,8/28/2015,SRR1562827,SRS693450,SRP046003,Atelopus glyphus A1 Bd-cleared mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012561,SRX690983,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2908,1989,ILLUMINA,8/28/2015,SRR1562828,SRS693451,SRP046003,Atelopus glyphus A7 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012562,SRX690984,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,1778,1219,ILLUMINA,8/28/2015,SRR1562829,SRS693452,SRP046003,Atelopus glyphus A8 Bd-cleared mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012563,SRX690985,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2069,1426,ILLUMINA,8/28/2015,SRR1562830,SRS693453,SRP046003,Atelopus glyphus A21 Bd-control mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012564,SRX690986,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/2/2014,2848,1945,ILLUMINA,8/28/2015,SRR1562831,SRS693454,SRP046003,Atelopus glyphus A14 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012565,SRX690988,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,2965,2025,ILLUMINA,8/28/2015,SRR1562832,SRS693456,SRP046003,Atelopus glyphus A29 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012566,SRX690989,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,3594,2469,ILLUMINA,8/28/2015,SRR1562833,SRS693457,SRP046003,Atelopus glyphus A31 Bd-control mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012567,SRX690990,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,2037,1393,ILLUMINA,8/28/2015,SRR1562835,SRS693458,SRP046003,Atelopus glyphus A15 Bd-infected mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012568,SRX690991,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,2343,1603,ILLUMINA,8/28/2015,SRR1562836,SRS693459,SRP046003,Atelopus glyphus A26 Bd-control mRNA skin,1yr,,,,not collected,skin,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012569,SRX690992,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2287,1564,ILLUMINA,8/28/2015,SRR1562837,SRS693460,SRP046003,Atelopus glyphus A29 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012570,SRX690994,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2056,1424,ILLUMINA,8/28/2015,SRR1562838,SRS693461,SRP046003,Atelopus glyphus A26 Bd-control mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012571,SRX690999,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,4419,3035,ILLUMINA,8/28/2015,SRR1562843,SRS693466,SRP046003,Atelopus glyphus A31 Bd-control mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012572,SRX691003,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2834,1939,ILLUMINA,8/28/2015,SRR1562846,SRS693470,SRP046003,Atelopus glyphus A27 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012573,SRX691009,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,3051,2080,ILLUMINA,8/28/2015,SRR1562852,SRS693475,SRP046003,Atelopus glyphus A25 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012574,SRX691010,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,4802,3308,ILLUMINA,8/28/2015,SRR1562853,SRS693477,SRP046003,Atelopus glyphus A21 Bd-control mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012575,SRX691011,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,10/15/2014,3006,2050,ILLUMINA,8/28/2015,SRR1562854,SRS693478,SRP046003,Atelopus glyphus A24 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012576,SRX691012,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,3587,2446,ILLUMINA,8/28/2015,SRR1562855,SRS693479,SRP046003,Atelopus glyphus A1 Bd-cleared mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012577,SRX691013,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2758,1895,ILLUMINA,8/28/2015,SRR1562856,SRS693480,SRP046003,Atelopus glyphus A8 Bd-cleared mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012578,SRX691014,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2388,1627,ILLUMINA,8/28/2015,SRR1562858,SRS693481,SRP046003,Atelopus glyphus A7 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012579,SRX691015,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,3165,2162,ILLUMINA,8/28/2015,SRR1562859,SRS693482,SRP046003,Atelopus glyphus A15 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012580,SRX691016,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,2393,1658,ILLUMINA,8/28/2015,SRR1562861,SRS693483,SRP046003,Atelopus glyphus A28 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus glyphus,RNA-Seq,101,PRJNA259720,SAMN03012581,SRX691017,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,9/6/2014,1701,1179,ILLUMINA,8/28/2015,SRR1562862,SRS693484,SRP046003,Atelopus glyphus A12 Bd-infected mRNA spleen,1yr,,,,not collected,spleen,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324547,SRX337962,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/22/2013,3027,2032,ILLUMINA,8/22/2014,SRR955466,SRS472353,SRP029154,control1_skin,,,,control1_skin,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324551,SRX337969,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/22/2013,2083,1412,ILLUMINA,8/22/2014,SRR955501,SRS472360,SRP029154,AZ_control2_skin,,,,control2_skin,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324552,SRX338000,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/22/2013,2617,1776,ILLUMINA,8/22/2014,SRR955503,SRS472391,SRP029154,AZ_control3_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324569,SRX338002,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/22/2013,2373,1642,ILLUMINA,8/22/2014,SRR955505,SRS472393,SRP029154,AZ_control4_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324570,SRX338129,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,3046,2083,ILLUMINA,8/22/2014,SRR955753,SRS472504,SRP029154,AZ_control5_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324571,SRX338130,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2640,1783,ILLUMINA,8/22/2014,SRR955755,SRS472505,SRP029154,AZ_control1_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324572,SRX338131,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,3523,2372,ILLUMINA,8/22/2014,SRR955757,SRS472506,SRP029154,AZ_control2_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324573,SRX338132,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2018,1370,ILLUMINA,8/22/2014,SRR955760,SRS472507,SRP029154,AZ_control3_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324574,SRX338133,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2321,1591,ILLUMINA,8/22/2014,SRR955764,SRS472508,SRP029154,AZ_control4_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324575,SRX338134,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,3870,2643,ILLUMINA,8/22/2014,SRR955768,SRS472509,SRP029154,AZ_control5_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324576,SRX338135,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2602,1741,ILLUMINA,8/22/2014,SRR955775,SRS472510,SRP029154,AZ_control1_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324577,SRX338136,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2982,2017,ILLUMINA,8/22/2014,SRR955779,SRS472511,SRP029154,AZ_control2_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324578,SRX338137,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2846,1918,ILLUMINA,8/22/2014,SRR955789,SRS472512,SRP029154,AZ_control3_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324579,SRX338138,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2546,1740,ILLUMINA,8/22/2014,SRR955790,SRS472513,SRP029154,AZ_control4_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324580,SRX338139,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2420,1657,ILLUMINA,8/22/2014,SRR955791,SRS472514,SRP029154,AZ_control5_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324581,SRX338140,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,1874,1253,ILLUMINA,8/22/2014,SRR955792,SRS472515,SRP029154,AZ_naive1_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324582,SRX338141,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2533,1708,ILLUMINA,8/22/2014,SRR955793,SRS472516,SRP029154,AZ_naive2_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324583,SRX338142,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2096,1438,ILLUMINA,8/22/2014,SRR955794,SRS472517,SRP029154,AZ_naive3_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324584,SRX338143,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2714,1793,ILLUMINA,8/22/2014,SRR955795,SRS472518,SRP029154,AZ_naive4_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324585,SRX338777,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2264,1523,ILLUMINA,8/22/2014,SRR955829,SRS472805,SRP029154,AZ_naive1_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324586,SRX338790,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,1808,1220,ILLUMINA,8/22/2014,SRR955842,SRS472818,SRP029154,AZ_naive2_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324587,SRX338791,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/23/2013,2688,1817,ILLUMINA,8/22/2014,SRR955843,SRS472819,SRP029154,AZ_naive3_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324588,SRX339586,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2111,1398,ILLUMINA,8/22/2014,SRR957159,SRS473352,SRP029154,AZ_naive4_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324589,SRX339591,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,1775,1195,ILLUMINA,8/22/2014,SRR957169,SRS473357,SRP029154,AZ_naive1_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324590,SRX339592,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2928,1966,ILLUMINA,8/22/2014,SRR957170,SRS473358,SRP029154,AZ_naive2_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324591,SRX339593,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2617,1773,ILLUMINA,8/22/2014,SRR957172,SRS473360,SRP029154,AZ_naive3_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324592,SRX339595,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,3240,2229,ILLUMINA,8/22/2014,SRR957173,SRS473361,SRP029154,AZ_naive4_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324593,SRX339596,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2161,1422,ILLUMINA,8/22/2014,SRR957174,SRS473362,SRP029154,AZ_cleared1_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324594,SRX339597,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,4743,3117,ILLUMINA,8/22/2014,SRR957175,SRS473363,SRP029154,AZ_cleared2_skin,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324595,SRX339598,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2309,1524,ILLUMINA,8/22/2014,SRR957176,SRS473364,SRP029154,AZ_cleared1_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324596,SRX339599,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2314,1539,ILLUMINA,8/22/2014,SRR957177,SRS473365,SRP029154,AZ_cleared2_spleen,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324597,SRX339600,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,8/26/2013,2121,1395,ILLUMINA,8/22/2014,SRR957178,SRS473366,SRP029154,AZ_cleared1_intestine,,,,,,,public
No,Atelopus zeteki,RNA-Seq,100,PRJNA216050,SAMN02324598,SRX339601,0,Illumina HiSeq 2000,SINGLE,DNase,TRANSCRIPTOMIC,,9/9/2013,2294,1524,ILLUMINA,8/22/2014,SRR957179,SRS473367,SRP029154,AZ_cleared2_intestine,,,,,,,public
No,Austrochaperina robusta,RNA-Seq,202,PRJNA323970,SAMN05185336,SRX1944686,0,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Austrochaperina robusta (ABTC 121680),7/13/2016,3575,2388,ILLUMINA,7/18/2016,SRR3901723,SRS1562147,SRP076446,Austrochaperina robusta (ABTC 121680),missing,missing,missing,missing,missing,liver,public
